v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 012,sexylingerie-us/sexylingerie/7532.jpg,Sexy Mesh Lingerie Black,"Product Name: <strong>Sexy Mesh Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Hot Lingerie, T-Bar Rhinestone Thong Panty with black mesh front. silver tone metal finish.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 013,sexylingerie-us/sexylingerie/7533.jpg,Girls Sexy Bikini Black,"Product Name: <strong>Girls Sexy Bikini Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: nylon+spandex<br>
Feature: Sexy Lingerie, This sexy bikini bottom features a Full Pucker Back Tie Panty.
",,10.5,,0001-01-01,15,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 014,sexylingerie-us/sexylingerie/7534.jpg,Girls Sexy G-string Black,"Product Name: <strong>Girls Sexy G-string Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: This g-string panty is a sexy panty with a T-back in rhinestones. The g-string in black has a rhinestone accented t-back style with black jewel accents for a one of a kind g-string.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 016,sexylingerie-us/sexylingerie/7535-1.jpg,Sexy Shining Lingerie Silver,"Product Name: <strong>Sexy Shining Lingerie Silver</strong><br>
Colors: Silver<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: Sexy Shining Lingerie, This sexy shirts features a Metallic Shorts with Rhinestone Buckle.
",,21.7,,0001-01-01,31,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0,,,
sexy lingerie 017,sexylingerie-us/sexylingerie/7535-2.jpg,Sexy Shining Lingerie Gold,"Product Name: <strong>Sexy Shining Lingerie Gold</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: Sexy Shinning Lingerie, This sexy shirts features a Metallic Shorts with Rhinestone Buckle.
",,21.7,,0001-01-01,31,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 018,sexylingerie-us/sexylingerie/7535-3.jpg,Sexy Shining Lingerie Grey,"Product Name: <strong>Sexy Shining Lingerie Grey</strong><br>
Colors: Grey<br>
Sizes: One Size Fits Most<br>
Materials: PU+ Spandex<br>
Feature: Sexy Shinging Lingerie, This sexy shirts features a Metallic Shorts with Rhinestone Buckle.
",,21.7,,0001-01-01,31,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 019,sexylingerie-us/sexylingerie/7536.jpg,Womens Sexy G-string Coffee,"Product Name: <strong>Womens Sexy G-string Coffee</strong><br>
Colors: Coffee<br>
Sizes: One Size Fits Most<br>
Materials: Swimming fabrics<br>
Feature: Hot Lingerie, Teardrop G-String Panty. High Quality Product.
",,9.8,,0001-01-01,11,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 020,sexylingerie-us/sexylingerie/7538.jpg,Low Rise G-String Black,"Product Name: <strong>Low Rise G-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Hot G-String, High quality & so comfortable to wear.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 021,sexylingerie-us/sexylingerie/7539.jpg,Sexy Mesh G-String Black,"Product Name: <strong>Sexy Mesh G-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Diamond Heart Rhinestone G-String Panty. Sexy G-String with Rhinestone heart in back at the waistline.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 022,sexylingerie-us/sexylingerie/7540.jpg,Sexy Mesh G-String Red,"Product Name: <strong>Sexy Mesh G-String Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Diamond Heart Rhinestone G-String Panty. Sexy G-String with Rhinestone heart in back at the waistline.
",,12.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 023,sexylingerie-us/sexylingerie/7541.jpg,Sexy Lace Lingerie Gold,"Product Name: <strong>Sexy Lace Lingerie Gold</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Lace<br>
Feature: G-string panty with rhinestones is a gold tone g-string panty in gold fishnet. This sexy g-string panty has rhinestones in back, wide bands and the entire g-string panty is finished in gold tones.
",,12.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 024,sexylingerie-us/sexylingerie/7542.jpg,Sexy Lace G-String Gold,"Product Name: <strong>Sexy Lace G-String Gold</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Lace<br>
Feature: Rhinestone Jeweled Heart G-String Panty with gold Mesh Front. Bronge tone Metal finish.
",,12.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 025,sexylingerie-us/sexylingerie/7543.jpg,Sexy Mesh Lingerie White,"Product Name: <strong>Sexy Mesh Lingerie White</strong><br>
Colors: White<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Exquisite Design, Sexy Curves, High quality & so comfortable to wear.
",,13.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 026,sexylingerie-us/sexylingerie/7544.jpg,Sexy Mesh Lingerie Black,"Product Name: <strong>Sexy Mesh Lingerie Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Exquisite Design, Sexy Curves, High quality & so comfortable to wear.
",,12.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 027,sexylingerie-us/sexylingerie/7545.jpg,Sexy Mesh Lingerie Red,"Product Name: <strong>Sexy Mesh Lingerie Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Exquisite Design, Sexy Curves, High quality & so comfortable to wear.
",,12.6,,0001-01-01,18,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 028,sexylingerie-us/sexylingerie/7554.jpg,Sexy Mesh C-String Red,"Product Name: <strong>Sexy Mesh C-String Red</strong><br>
Colors: Red<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
Feature: Exquisite Design, Sexy Curves, High quality & so comfortable to wear.
",,14,,0001-01-01,20,0,2012-7-31 1:35,2012-7-31 1:35,488,,Sexy Lingerie,,,,,,,--none--,1,0,1,0,1,0
sexy lingerie 029,sexylingerie-us/sexylingerie/7555.jpg,Sexy Mesh C-String Black,"Product Name: <strong>Sexy Mesh C-String Black</strong><br>
Colors: Black<br>
Sizes: One Size Fits Most<br>
Materials: Acrylic+ Spandex<br>
