v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 015,sexylingerie-us/sexylingerie/0616.jpg,Ancient Carved Head Bracelet,"Product Name: <strong>Ancient Carved Head Bracelet</strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Ancient Carved Head Bracelet.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 016,sexylingerie-us/sexylingerie/0617.jpg,Retro Earrings Diamond Anchor,"Product Name: <strong>Retro Earrings Diamond Anchor</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Retro Earrings Diamond Anchor.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0,,,
Jewelry Accessories 017,sexylingerie-us/sexylingerie/0618.jpg,Lion King Retro Ring,"Product Name: <strong>Lion King Retro Ring</strong><br>
Colors: Gold<br>
Sizes: One Size Fits Most<br>
Materials: Metal<br>
Feature: Lion King Retro Ring.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 018,sexylingerie-us/sexylingerie/0620.jpg,Reese Rhinestone Heart Anklet,"Product Name: <strong>Reese Rhinestone Heart Anklet</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: It doesn't matter if it is Valentine's Day or not, our Reese Rhinestone Heart Anklet is perfect for any night of the week. Wear it with your go to dress or with your sexiest lingerie set.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 019,sexylingerie-us/sexylingerie/0621.jpg,Austrian Crystal Stretch Bracelet,"Product Name: <strong>Austrian Crystal Stretch Bracelet</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
Feature: Austrian Crystal stretch bracelet measures 1 inch in width and has seven rows of 1/8 inch rhinestones.

",,28,,,48,,,,488,,Jewelry Accessories,,,,,,,--none--,1,0,1,0,1,0
Jewelry Accessories 020,sexylingerie-us/sexylingerie/0622.jpg,Womens Rhinestone Heart Bracelet,"Product Name: <strong>Womens Rhinestone Heart Bracelet</strong><br>
Colors: Silver/White<br>
Sizes: One Size Fits Most<br>
Materials: Rhinestone<br>
