v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
Imitation Jeans 001,sexylingerie-us/sexylingerie/78401.jpg,Paris Angel Imitation Jeans,"Product Name: <strong>Paris Angel Imitation Jeans Black Grey</strong><br>
Colors: Black/Grey<br>
Sizes: One Size Fits Most<br>
Materials: 85% Polyester+15% Elasthane<br>
Feature: Paris Angel Imitation Jeans. High Quality Product.",,38,,,55,0.06kg,,,555,,Imitation Jeans,,,,,,,--none--,1,0,1,0,1,0,,,
Imitation Jeans 002,sexylingerie-us/sexylingerie/78407.jpg,Star Imitation Jeans,"Product Name: <strong>Star Imitation Jeans Light Blue</strong><br>
Colors: Light Blue<br>
Sizes: One Size Fits Most<br>
Materials: 85% Polyester+15% Elasthane<br>
Feature: Star Imitation Jeans. High Quality Product.",,38,,,55,0.06kg,,,555,,Imitation Jeans,,,,,,,--none--,1,0,1,0,1,0,,,
Imitation Jeans 003,sexylingerie-us/sexylingerie/78408.jpg,Fashion Imitation Jeans,"Product Name: <strong>Fashion Imitation Jeans Dark Grey</strong><br>
Colors: Dark Grey<br>
Sizes: One Size Fits Most<br>
Materials: 85% Polyester+15% Elasthane<br>
Feature: Fashion Imitation Jeans. High Quality Product.",,38,,,55,0.06kg,,,555,,Imitation Jeans,,,,,,,--none--,1,0,1,0,1,0,,,
Imitation Jeans 004,sexylingerie-us/sexylingerie/78418.jpg,Young Girls Imitation Jeans,"Product Name: <strong>Young Girls Imitation Jeans Mixed<strong><br>
Colors: As the picture<br>
Sizes: One Size Fits Most<br>
Materials: 85% Nylon+15% Spandex<br>
Feature: Young Girls Imitation Jeans. High Quality Product.",,38,,,55,0.06kg,,,555,,Imitation Jeans,,,,,,,--none--,1,0,1,0,1,0,,,
