v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
AMF018,sex toys for women/20130626161048557.jpg,jump egg for desired women ,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material:Soft silica</li>								<li>suitable for :female</li>								<li>brand:amiga toys </li>								<li>dimension :diameter 3cm  total length9cm  for sex part lengthÎª7cm </li>								<li>power:3 AAA batt</li>								<li>HZ:7frequence vibrator</li>			ery 				",,19,,0001-01-01,27.6,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,jump egg for desired women AMF018,"jump egg for desired women ,sex toys for women, amiga toys","shoppingjump egg for desired women  at amiga toys, cheap price and free shipping"
AMF019,sex toys for women/20130626161040533.jpg,small yellow banana jump egg ,"						<ul class=""property"">								<li>catalogue:jump egg</li>								<li>material: soft material</li>								<li>suitable for :female</li>								<li>brand:amiga toys </li>								<li>dimension :8.5cm¡Á3.2cm</li>								<li>power:2 AA Battery </li>								<li>HZ:7frequence vibrator </li>							",,19,,0001-01-01,21.3,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,small yellow banana jump egg AMF019,"small yellow banana jump egg ,sex toys for women, amiga toys","shoppingsmall yellow banana jump egg  at amiga toys, cheap price and free shipping"
AMF020,sex toys for women/20130626161036514.jpg,retail female sexy toys masturbation smart vibrating ball g-spot,"						<ul class=""property"">								<li>catalogue??G Spot</li>								<li>material??ABSplastic</li>								<li>suitable for ??female</li>								<li>brand??swedenlelo</li>								<li>dimension ??lengenth 19.5 cm diameter3-5cm</li>								<li>warrant??1 year </li>								<li>waterproof??waterproof</li>	 						",,69.2,,0001-01-01,73.7,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,"retail female sexy toys masturbation smart vibrating ball g-spot dumbbell koro vaginal sex toys
AMF020","retail female sexy toys masturbation smart vibrating ball g-spot dumbbell koro vaginal sex toys
,sex toys for women, amiga toys","shoppingretail female sexy toys masturbation smart vibrating ball g-spot dumbbell koro vaginal sex toys
 at amiga toys, cheap price and free shipping"
AMF021,sex toys for women/20130626161043543.jpg,little eggplant jump egg,"						<ul class=""property"">								<li>catalogue??jump egg</li>								<li>material??soft material</li>								<li>suitable for ??female</li>								<li>brand??amiga toys </li>								<li>dimension ??10.2cm??3.5cm</li>								<li>power??2 AA battery </li>								<li>HZ??7frequence vibrators </li>							",,19,,0001-01-01,28.8,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,little eggplant jump eggAMF021,"little eggplant jump egg,sex toys for women, amiga toys","shoppinglittle eggplant jump egg at amiga toys, cheap price and free shipping"
AMF022,sex toys for women/20130626161038523.jpg,Female masturbation devices soft gel vibrating g-spot stimulatio,"						<ul class=""property"">								<li>catalogue??G Spot</li>								<li>material??ABSplastic</li>								<li>suitable for ??female</li>								<li>brand??amiga toys </li>								<li>dimension ??lengenth 19.5cm diameter3-5cm</li>								<li>warranty:1 year </li>								<li>waterproof??waterproof</li>							",,69.2,,0001-01-01,79.1,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,Female masturbation devices soft gel vibrating g-spot stimulation of the clitoris high tide mini portable vibratorAMF022,"Female masturbation devices soft gel vibrating g-spot stimulation of the clitoris high tide mini portable vibrator,sex toys for women, amiga toys","shoppingFemale masturbation devices soft gel vibrating g-spot stimulation of the clitoris high tide mini portable vibrator at amiga toys, cheap price and free shipping"
AMF023,sex toys for women/20130626161047553.jpg,hot Silicone High frequency G-Spot Rabbit Vibrator sex toys for ,"						<ul class=""property"">								<li>catalogue??vibrating ball</li>								<li>material??medical</li>								<li>suitable for ??Adult man and woman </li>								<li>brand??amiga toys </li>								<li>dimension ?? 26.cm?? iameter2cm</li>								<li>power??3 AA Battery </li>								<li>HZ??6frequence vibraror </li>								<li>feature??flexible  </li>								<li>waterproof??waterproof</li>							",,22.2,,0001-01-01,24.6,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,hot Silicone High frequency G-Spot Rabbit Vibrator sex toys for women Female masturbation multi function penis wireless vibratioAMF023,"hot Silicone High frequency G-Spot Rabbit Vibrator sex toys for women Female masturbation multi function penis wireless vibratio,sex toys for women, amiga toys","shoppinghot Silicone High frequency G-Spot Rabbit Vibrator sex toys for women Female masturbation multi function penis wireless vibratio at amiga toys, cheap price and free shipping"
AMF024,sex toys for women/20130626161040530.jpg,hot Female masturbation tongue cunnilingus mini Tiaodan AV Wands,"						<ul class=""property"">								<li>material??ABSplastic</li>								<li>suitable for ??female</li>								<li>brand??amiga toys </li>								<li>dimension ??lengenth 7.5cm    37g</li>								<li>power??direct charger </li>								<li>HZ??4 frequence  </li>							",,135.8,,0001-01-01,137.3,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,"hot Female masturbation tongue cunnilingus mini Tiaodan AV Wands sex toys for women, Female masturbationAMF024","hot Female masturbation tongue cunnilingus mini Tiaodan AV Wands sex toys for women, Female masturbation,sex toys for women, amiga toys","shoppinghot Female masturbation tongue cunnilingus mini Tiaodan AV Wands sex toys for women, Female masturbation at amiga toys, cheap price and free shipping"
AMF025,sex toys for women/20130626161044545.jpg,Adult sex products Female Vibrator egg device Jump oral sex fema,"						<ul class=""property"">								<li>catalogue??G Spot</li>								<li>material??medicalseniorsilicon</li>								<li>suitable for ??female</li>								<li>brand??amiga toys</li>								<li>dimension ??remote control about12cm?? diameterabout 2.4cm?? diameterabout?1.5cm</li>								<li>power?? 1 AAA battery </li>								<li>waterproof??no waterproof in electronic part </li>							",,15.5,,0001-01-01,23.3,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,Adult sex products Female Vibrator egg device Jump oral sex female Masturbation massage sex toyAMF025,"Adult sex products Female Vibrator egg device Jump oral sex female Masturbation massage sex toy,sex toys for women, amiga toys","shoppingAdult sex products Female Vibrator egg device Jump oral sex female Masturbation massage sex toy at amiga toys, cheap price and free shipping"
AMF026,sex toys for women/20130626161046550.jpg,remote control jump egg,"						<ul class=""property"">								<li>suitable for ??female</li>								<li>dimension ??95*56mm</li>								<li>power??3 AAA battery </li>								<li>HZ??20 frequence </li>								<li>waterproof??waterproof</li>								<li>product ??controller ??jump egg??instructions  </li>							",,35.5,,0001-01-01,40.9,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,remote control jump eggAMF026,"remote control jump egg,sex toys for women, amiga toys","shoppingremote control jump egg at amiga toys, cheap price and free shipping"
AMF027,sex toys for women/20130626161048559.jpg,wirless remote control jump egg,"						<ul class=""property"">								<li>catalogue??jump egg</li>								<li>material??silicon</li>								<li>suitable for ??female</li>								<li>brand??amiga toys </li>								<li>power??Lithium  recharge </li>								<li>HZ??7frequence vibrators </li>								<li>feature??7frequence vibrate</li>								<li>waterproof??waterproof</li>								<li>product??product x1??remote jump eggx1??bag x1?? instructions </li>							",,72.3,,0001-01-01,81.6,1,2013/6/27 3:11,2013/6/27 3:11,0,,sex toys for women,,,,,,,--none--,1,1,1,0,0,0,wirless remote control jump eggAMF027,"wirless remote control jump egg,sex toys for women, amiga toys","shoppingwirless remote control jump egg at amiga toys, cheap price and free shipping"
